"","tax_year","prop_income","prop","relative_avg_income","ts"
"73",2003,0.229671693886514,0.241379310344828,0.951497017529845,"Top 0.001"
"74",2004,0.227585677769676,0.229122055674518,0.993294500172324,"Top 0.001"
"75",2005,0.239603487198557,0.241525423728814,0.992042508401041,"Top 0.001"
"76",2006,0.276733075428744,0.292016806722689,0.947661466935842,"Top 0.001"
"77",2007,0.229947195171343,0.283333333333333,0.811578335898857,"Top 0.001"
"78",2008,0.315986755189193,0.36701030927835,0.860975147566058,"Top 0.001"
"79",2009,0.257162306864073,0.302658486707566,0.849678162544132,"Top 0.001"
"80",2010,0.300343183595137,0.311740890688259,0.963438523999985,"Top 0.001"
"81",2011,0.344592382672353,0.391566265060241,0.88003593113247,"Top 0.001"
"82",2012,0.289229616823709,0.330677290836653,0.874658238828323,"Top 0.001"
